Timestamp,Confirmed,Deaths,Recovered,Active
2020-05-14,16193,710,10338,5145
2020-05-15,16237,725,10338,5174
2020-05-16,16285,744,10809,4732
2020-05-17,16305,749,10809,4747
2020-05-18,16365,763,11415,4187
2020-05-19,16385,771,11564,4050
2020-05-20,16424,777,12286,3361
2020-05-21,16513,796,12286,3431
2020-05-22,16536,808,12672,3056
2020-05-23,16550,820,13005,2725
2020-05-24,16581,830,13244,2507
2020-05-25,16623,846,13612,2165
2020-05-26,16637,846,13612,2179
2020-05-27,16651,858,13810,1983
2020-05-28,16683,867,13973,1843
2020-05-29,16719,874,14147,1698
2020-05-30,16804,886,14406,1512
2020-05-31,16851,891,14406,1554
2020-06-01,16884,892,14406,1586
2020-06-02,16930,894,14502,1534
2020-06-03,16986,900,14771,1315
2020-06-04,17018,903,14867,1248
2020-06-05,17064,907,14972,1185
2020-06-06,17103,914,15079,1110
2020-06-07,17141,916,15139,1086
2020-06-08,17174,916,15148,1110
2020-06-09,17210,916,15213,1081
2020-06-10,17251,916,15298,1037
2020-06-11,17292,920,15383,989
2020-06-12,17332,922,15383,1027
2020-06-13,17382,924,15580,878
2020-06-14,17429,925,15580,924
2020-06-15,17502,925,15383,1194
2020-06-16,17587,927,15701,959
2020-06-17,17628,931,15850,847
2020-06-18,17668,935,15930,803
2020-06-19,17740,935,16008,797
2020-06-20,17799,952,16077,770
2020-06-21,17831,953,16108,770
2020-06-22,17864,953,16108,803
2020-06-23,17968,955,16212,801
2020-06-24,18024,963,16108,953
2020-06-25,18110,968,16320,822
2020-06-26,18197,969,16108,1120
2020-06-27,18297,971,16392,934
2020-06-28,18390,971,16505,914
2020-06-29,18476,972,16557,947
2020-06-30,18593,972,16108,1513
2020-07-01,18723,974,16731,1018
2020-07-02,18874,975,16731,1168
2020-07-03,19068,976,16866,1226
2020-07-04,19282,977,16959,1346
2020-07-05,19522,977,17050,1495
2020-07-06,19775,977,17124,1674
2020-07-07,19981,978,17124,1879
2020-07-08,20174,980,17331,1863
2020-07-09,20371,981,17331,2059
2020-07-10,20719,982,17331,2406
2020-07-11,21129,982,17331,2816
2020-07-12,21502,982,17331,3189
2020-07-13,21868,982,17331,3555
2020-07-14,22220,982,17331,3907
2020-07-15,22508,984,17331,4193
2020-07-16,22890,985,18814,3091
2020-07-17,23473,985,18814,3674
2020-07-18,24132,985,19366,3781
2020-07-19,24642,985,19366,4291
2020-07-20,25096,985,19757,4354
2020-07-21,25736,988,19757,4991
2020-07-22,26303,989,20651,4663
2020-07-23,27029,990,21035,5004
2020-07-24,27956,992,21328,5636
2020-07-25,28786,993,21567,6226
2020-07-26,29382,996,21762,6624
2020-07-27,29989,996,22116,6877
2020-07-28,30961,998,22811,7152
2020-07-29,31901,1001,23507,7393
2020-07-30,33049,1004,24179,7866
2020-07-31,34372,1006,24929,8437
2020-08-01,35836,1011,25506,9319
2020-08-02,36689,1011,25906,9772
2020-08-03,38687,1012,26487,11188
2020-08-04,39858,1016,27197,11645
2020-08-05,41129,1022,28028,12079
2020-08-06,42263,1026,28877,12360
2020-08-07,43815,1033,30153,12629
2020-08-08,45439,1039,31307,13093
2020-08-09,46783,1040,32312,13431
2020-08-10,47990,1047,33058,13885
2020-08-11,48928,1052,33975,13901
2020-08-12,50210,1059,34888,14263
2020-08-13,51147,1063,36134,13950
2020-08-14,52217,1073,37479,13665
2020-08-15,53577,1085,38945,13547
2020-08-16,54714,1088,40080,13546
2020-08-17,55667,1099,41196,13372
2020-08-18,56685,1115,42284,13286
2020-08-19,57550,1128,43835,12587
2020-08-20,58501,1144,43835,13522
2020-08-21,59721,1155,46467,12099
2020-08-22,60733,1169,47622,11942
2020-08-23,61747,1176,48550,12021
2020-08-24,62507,1181,49340,11986
2020-08-25,63121,1196,50431,11494
2020-08-26,63822,1209,51688,10925
2020-08-27,64668,1226,52823,10619
2020-08-28,65573,1238,53995,10340
2020-08-29,66423,1255,55341,9827
2020-08-30,67264,1264,56164,9836
2020-08-31,67865,1279,56802,9784
2020-09-01,68392,1296,56802,10294
2020-09-02,69001,1307,58428,9266
2020-09-03,69599,1319,59524,8756
2020-09-04,70268,1330,60417,8521
2020-09-05,70876,1349,61445,8082
2020-09-06,71419,1357,62076,7986
2020-09-07,71856,1363,62536,7957
2020-09-08,72234,1377,63282,7575
2020-09-09,72726,1393,63282,8051
2020-09-10,73221,1406,64835,6980
2020-09-11,73901,1412,65590,6899
2020-09-12,74544,1423,66280,6841
2020-09-13,75218,1439,66899,6880
2020-09-14,75657,1442,67242,6973
2020-09-15,75958,1451,67831,6676
2020-09-16,76448,1461,68532,6455
2020-09-17,77009,1473,69253,6283
2020-09-18,77494,1482,69899,6113
2020-09-19,78073,1495,70495,6083
2020-09-20,78657,1500,71030,6127
2020-09-21,79140,1500,71404,6236
2020-09-22,79438,1508,71648,6282
2020-09-23,79768,1512,71981,6275
2020-09-24,80041,1520,72538,5983
2020-09-25,80497,1532,73490,5475
2020-09-26,81055,1540,74151,5364
2020-09-27,81690,1545,74607,5538
2020-09-28,82131,1548,74990,5593
2020-09-29,82494,1557,75459,5478
2020-09-30,83010,1564,76025,5421
2020-10-01,83563,1571,76590,5402
2020-10-02,84215,1578,77219,5418
2020-10-03,84768,1590,77804,5374
2020-10-04,85339,1597,78315,5427
2020-10-05,85739,1599,78609,5531
2020-10-06,86047,1602,79071,5374
2020-10-07,86543,1605,79676,5262
2020-10-08,87020,1613,80227,5180
2020-10-09,87639,1616,80733,5290
2020-10-10,88233,1624,81356,5253
2020-10-11,88912,1627,81824,5461
2020-10-12,89347,1629,82113,5605
2020-10-13,89673,1634,82621,5418
2020-10-14,90140,1638,83158,5344
2020-10-15,90710,1646,83837,5227
2020-10-16,91431,1650,83451,6330
2020-10-17,92063,1661,85030,5372
2020-10-18,92656,1670,85485,5501
2020-10-19,93217,1674,85941,5602
2020-10-20,93480,1676,86513,5291
2020-10-21,93933,1679,87107,5147
2020-10-22,94524,1685,87666,5173
2020-10-23,95138,1694,88245,5199
2020-10-24,95835,1706,88787,5342
2020-10-25,96534,1711,89282,5541
2020-10-26,97074,1718,89707,5649
2020-10-27,97498,1725,90148,5625
2020-10-28,98116,1730,90807,5579
2020-10-29,98852,1733,91322,5797
2020-10-30,99622,1744,91890,5988
2020-10-31,100392,1755,92475,6162
2020-11-01,101146,1766,92960,6420
2020-11-02,101813,1774,93383,6656
2020-11-03,102281,1780,93855,6646
2020-11-04,102900,1786,94295,6819
2020-11-05,103838,1794,95113,6931
2020-11-06,104782,1806,95756,7220
2020-11-07,105914,1809,96461,7644
2020-11-08,107086,1812,97197,8077
2020-11-09,108084,1818,97654,8612
2020-11-10,108983,1829,98274,8880
2020-11-11,110156,1841,99108,9207
2020-11-12,111711,1851,100005,9855
2020-11-13,113298,1867,101018,10413
2020-11-14,114983,1880,101989,11114
2020-11-15,116677,1883,102837,11957
2020-11-16,118136,1885,103674,12577
2020-11-17,119326,1903,104637,12786
2020-11-18,120815,1913,105697,13205
